Ownership,Openyear,Status,Scale,Inventory,CK,FK,K,Liability,Profit,Product,R.D,ExportScale,L,Age,ExportBinom,I
110,1995,1,,295697,393386,1236709,1630095,1657146,-26656,297470,0,0,832,14,0,0
330,2000,1,3,391,4998,4270,10982,11904,-10758,0,0,0,15,9,0,19799
160,1968,1,,52922,735306,744862,1548951,922207,736707,1662672,0,0,2951,41,0,0
160,2007,1,,8765,10178,29870,40140,62212,3803,40370,0,0,150,2,0,0
160,1995,1,,295697,393386,1236709,1630095,1657146,-26656,297470,0,0,832,14,0,0
171,2002,1,3,0,6664,757,7439,7060,80,48760,0,0,260,7,0,0
230,2000,1,2,759008,950087,16429896,17379983,17379983,15434935,31240124,0,234171,403,9,1,0
160,2001,1,2,14361,40633,16727,57360,41036,19869,165476,0,0,855,8,0,0
171,2005,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0
159,2003,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0
159,2003,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0
230,2007,1,3,28,5796,480,7305,7288,3,24265,0,0,43,2,0,0
110,1987,1,2,0,0,0,0,0,0,0,0,0,0,22,0,0
110,1991,1,2,0,0,0,0,0,0,0,0,0,0,18,0,0
110,1994,1,2,0,0,0,0,0,0,0,0,0,0,15,0,0
310,2003,1,3,0,0,0,0,0,0,0,0,0,0,6,0,0
173,2006,1,3,246,491,1276,1767,96,231,505361,0,0,34,3,0,500
171,2005,1,3,114,5210,4308,9696,5009,86,1584587,0,0,63,4,0,800
230,2003,1,3,0,10970,1245,12402,8017,12046,1618573,0,0,75,6,0,500
173,2003,1,3,0,4773,2660,10959,10769,1091,1737925,0,0,163,6,0,1000
330,2002,1,2,18993,111070,9546,122021,88585,34957,7130641,0,7130641,270,7,1,5295
159,2005,1,3,7,720,184,904,36,-37,100855,0,0,4,4,0,701
171,2005,1,3,507,627,252,879,123,57,105874,0,0,8,4,0,703
171,1995,1,3,11,66,329,395,73,-37,83680,0,0,12,14,0,100
159,2005,1,3,512,2003,644,2648,1847,-73,339473,0,0,59,4,0,1000
230,2003,1,3,196,1190,706,1896,158,343,253864,0,0,61,6,0,2348
159,2005,1,3,585,891,102,995,1091,-431,300405,0,0,212,4,0,550
171,2000,1,3,138,149,0,149,318,-99,88200,0,0,133,9,0,250
172,2006,1,3,342,953,366,1319,979,60,194633,0,0,23,3,0,138
210,2002,1,3,0,19757,6353,26110,3811,176,1356583,0,0,161,7,0,13369
230,1993,1,2,10,600,700,1300,300,150,67645,0,0,4,16,0,5000
171,2005,1,3,279,1347,53,1400,1004,289,197851,0,0,35,4,0,300
171,2004,1,3,680,842,256,1098,154,77,108329,0,0,16,5,0,878
159,2001,1,3,0,13581,7768,21475,17369,2301,1518737,0,0,175,8,0,500
340,2006,1,1,3092,342822,1607361,2151372,1022076,157483,25829185,0,25399534,2239,3,1,951645
174,2003,1,2,7754,9537,7098,16635,14103,2280,808800,0,0,91,6,0,5000
230,2004,1,3,0,21292,11471,32763,21201,53,1470409,0,0,157,5,0,4680
230,1993,1,3,98,5635,2140,7775,34,145,240214,0,0,13,16,0,8413
330,2005,1,3,215469,392835,132189,537360,338032,39058,4817926,0,40517,130,4,1,178967
173,2001,1,3,395,531,1351,1882,2443,-1274,201957,0,0,47,8,0,500
171,2006,1,3,720,720,488,1208,28,90,108677,0,0,22,3,0,1100
159,2005,1,3,0,19392,12306,33614,18127,333,1470409,0,0,157,4,0,2000
110,1999,1,3,0,182,1005,1187,152,0,109711,0,0,24,10,0,1085
173,2006,1,3,1914,10877,4448,15549,8124,15541,923345,0,0,285,3,0,12000
159,2002,1,3,927,1865,1950,3816,2930,-156,300475,0,0,47,7,0,500
171,2004,1,3,126,320,549,869,50,100,124542,0,7802,50,5,1,500
120,1999,1,3,0,131,60,527,564,-105,77337,0,0,45,10,0,1774
310,2007,1,3,16154,66517,2665,70106,33557,10852,681169,0,0,11,2,0,28015
159,2004,1,3,351,2556,1015,3572,2319,143,190464,0,0,22,5,0,1000
310,1992,1,3,1021,60675,6439,67114,3546,8012,998704,0,0,38,17,0,16444
173,2007,1,3,0,1897,8,1906,800,0,361251,0,0,630,2,0,1906
172,2003,1,3,1286,8569,4479,16050,8962,14794,856052,0,0,293,6,0,9500
171,2007,1,3,464,863,166,1029,295,-141,88015,0,0,24,2,0,1010
230,2001,1,3,836,6122,4564,11686,4375,11070,823847,0,0,297,8,0,1745
173,2007,1,3,2535,6076,1656,7732,7545,379,281239,0,0,17,2,0,500
159,2001,1,3,200,458,583,1042,387,38,88715,0,0,21,8,0,500
171,2003,1,3,209,1162,503,1665,158,494,71032,0,0,5,6,0,600
159,2006,1,3,323,5109,2085,7195,5153,368,319577,0,0,45,3,0,1800
173,2002,2,3,21,1361,282,1643,1160,31,133048,0,0,32,7,0,500
171,2005,1,3,202,9878,2252,101231,99959,-4,1606678,0,0,45,4,0,1280
159,2003,1,3,1317,3055,980,4036,3239,-38,171085,0,0,15,6,0,500
210,1993,1,3,760,4850,3131,11990,2634,11213,908940,0,0,289,16,0,420
120,2004,1,3,0,307,866,1183,238,22,96194,0,96194,85,5,1,20374
171,2004,1,3,188,1234,77,1312,20,88,78000,0,0,14,5,0,915
159,2003,1,3,550,2212,2807,5319,4424,178,379617,0,0,103,6,0,500
171,1993,1,3,1095,6953,3896,10912,5870,10556,611764,0,0,292,16,0,8000
230,2001,1,3,0,13483,10944,24427,14949,-95,1490066,0,0,1058,8,0,10330
173,2006,1,3,184,2827,110,2938,1794,949,225696,0,0,68,3,0,510
330,2004,1,3,812,2599,3353,6023,1695,-324,298522,0,0,50,5,0,775
173,2005,1,3,1240,2259,755,3014,583,1573,171804,0,0,42,4,0,1510
210,2002,1,2,9096,108627,148095,389456,101354,41655,2655970,0,0,91,7,0,119360
220,1992,1,1,4133,41704,73412,117497,6933,80951,4458007,0,4419049,3680,17,1,97812
159,2002,1,3,1556,4153,1666,5820,4546,618,380115,0,0,102,7,0,500
159,2003,1,3,0,5819,7124,13088,10293,-3292,607783,0,0,121,6,0,1000
171,2002,1,3,4025,13856,3207,17187,15967,13092,700228,0,0,158,7,0,2748
159,2005,1,3,85,332,282,673,75,32,42661,0,0,8,4,0,500
173,2001,1,3,11561,19348,5113,28940,15765,25747,955881,0,0,289,8,0,15000
171,2004,1,3,270,4700,3607,18157,3350,11469,808793,0,0,296,5,0,5460
173,2007,1,3,364,2626,8397,11023,8585,4222,408813,0,0,38,2,0,300
151,2005,1,3,2137,4680,2100,6780,2203,6616,395625,0,0,108,4,0,580
230,1995,1,3,2623,5048,3235,8382,2743,-143,356707,0,5673,100,14,1,3844
171,1997,1,3,2870,7443,1310,8753,2169,235,200795,0,0,20,12,0,6600
173,2002,1,3,1207,5148,2970,8118,5148,150,273114,0,0,26,7,0,500
159,2007,1,3,0,14514,2885,17399,14541,2561,463467,0,0,32,2,0,500
159,1996,1,3,2396,5494,5665,13450,9946,-5,346256,360,812,36,13,1,2500
